block_id,fazenda,fazenda_slug,center_lon,center_lat,size_m,overlap_m,step_m,metric_crs,center_inside_farm,farm_intersection_area_m2,block_folder
furna_azul_001,Furna Azul,furna_azul,-48.02030729316203,-5.117324312486393,4000,200,3800,EPSG:32722,False,195404.34073440882,C:\02\19  Baixa Imagens - Sentinel_SurperResolução\export\furna_azul\blocks\furna_azul_001
furna_azul_002,Furna Azul,furna_azul,-48.02046572060438,-5.082994031707935,4000,200,3800,EPSG:32722,False,3742681.8597665518,C:\02\19  Baixa Imagens - Sentinel_SurperResolução\export\furna_azul\blocks\furna_azul_002
furna_azul_003,Furna Azul,furna_azul,-47.986229349478236,-5.082834807501913,4000,200,3800,EPSG:32722,False,1918969.3839723056,C:\02\19  Baixa Imagens - Sentinel_SurperResolução\export\furna_azul\blocks\furna_azul_003
