block_id,fazenda,status,month,center_lon,center_lat,image_date,cloud_percent,mgrs_tile,system_id,s2dr4_call
maria_izabel_001,Maria Izabel,fallback_best_cloud,2026-05,-47.88474580350792,-5.976097430032443,2026-05-06,7.8293,22MHU,COPERNICUS/S2_SR_HARMONIZED/20260506T133139_20260506T133232_T22MHU,"s2dr4.inferutils.test(lonlat=(-47.88474580,-5.97609743), date='2026-05-06')"
maria_izabel_002,Maria Izabel,fallback_best_cloud,2026-05,-47.85045407812508,-5.97627648566593,2026-05-06,7.8293,22MHU,COPERNICUS/S2_SR_HARMONIZED/20260506T133139_20260506T133232_T22MHU,"s2dr4.inferutils.test(lonlat=(-47.85045408,-5.97627649), date='2026-05-06')"
maria_izabel_003,Maria Izabel,fallback_best_cloud,2026-05,-47.81616131298323,-5.976453407029298,2026-05-06,7.8293,22MHU,COPERNICUS/S2_SR_HARMONIZED/20260506T133139_20260506T133232_T22MHU,"s2dr4.inferutils.test(lonlat=(-47.81616131,-5.97645341), date='2026-05-06')"
maria_izabel_004,Maria Izabel,fallback_best_cloud,2026-05,-47.91885497021607,-5.941585063625067,2026-05-06,7.8293,22MHU,COPERNICUS/S2_SR_HARMONIZED/20260506T133139_20260506T133232_T22MHU,"s2dr4.inferutils.test(lonlat=(-47.91885497,-5.94158506), date='2026-05-06')"
maria_izabel_005,Maria Izabel,fallback_best_cloud,2026-05,-47.884566422006756,-5.9417652050652565,2026-05-06,7.8293,22MHU,COPERNICUS/S2_SR_HARMONIZED/20260506T133139_20260506T133232_T22MHU,"s2dr4.inferutils.test(lonlat=(-47.88456642,-5.94176521), date='2026-05-06')"
maria_izabel_006,Maria Izabel,fallback_best_cloud,2026-05,-47.85027682189546,-5.941943224898656,2026-05-06,7.8293,22MHU,COPERNICUS/S2_SR_HARMONIZED/20260506T133139_20260506T133232_T22MHU,"s2dr4.inferutils.test(lonlat=(-47.85027682,-5.94194322), date='2026-05-06')"
maria_izabel_007,Maria Izabel,fallback_best_cloud,2026-05,-47.81598618234356,-5.942119122807618,2026-05-06,7.8293,22MHU,COPERNICUS/S2_SR_HARMONIZED/20260506T133139_20260506T133232_T22MHU,"s2dr4.inferutils.test(lonlat=(-47.81598618,-5.94211912), date='2026-05-06')"
maria_izabel_008,Maria Izabel,fallback_best_cloud,2026-05,-47.91867452812732,-5.907253838771438,2026-05-06,7.8293,22MHU,COPERNICUS/S2_SR_HARMONIZED/20260506T133139_20260506T133232_T22MHU,"s2dr4.inferutils.test(lonlat=(-47.91867453,-5.90725384), date='2026-05-06')"
maria_izabel_009,Maria Izabel,fallback_best_cloud,2026-05,-47.88438809240792,-5.907432932191868,2026-05-06,7.8293,22MHU,COPERNICUS/S2_SR_HARMONIZED/20260506T133139_20260506T133232_T22MHU,"s2dr4.inferutils.test(lonlat=(-47.88438809,-5.90743293), date='2026-05-06')"
maria_izabel_010,Maria Izabel,fallback_best_cloud,2026-05,-47.85010060510676,-5.907609916347863,2026-05-06,7.8293,22MHU,COPERNICUS/S2_SR_HARMONIZED/20260506T133139_20260506T133232_T22MHU,"s2dr4.inferutils.test(lonlat=(-47.85010061,-5.90760992), date='2026-05-06')"
